rank,song,artist(s),streams_(billions),release_date,ref.
1,"""Blinding Lights""",The Weeknd,4.782,29 November 2019,[2]
2,"""Shape of You""",Ed Sheeran,4.3,6 January 2017,[3]
3,"""Someone You Loved""",Lewis Capaldi,3.858,8 November 2018,[4]
4,"""Starboy""",The Weeknd and Daft Punk,3.828,21 September 2016,[5]
5,"""As It Was""",Harry Styles,3.824,1 April 2022,[6]
6,"""Sunflower""",Post Malone and Swae Lee,3.767,18 October 2018,[7]
7,"""Sweater Weather""",The Neighbourhood,3.687,3 December 2012,[8]
8,"""One Dance""",Drake with Wizkid and Kyla,3.586,5 April 2016,[9]
9,"""Stay""",The Kid Laroi and Justin Bieber,3.515,9 July 2021,[10]
10,"""Believer""",Imagine Dragons,3.384,1 February 2017,[11]
11,"""Perfect""",Ed Sheeran,3.376,26 September 2017,[12]
12,"""Heat Waves""",Glass Animals,3.34,29 June 2020,[13]
13,"""Lovely""",Billie Eilish and Khalid,3.261,19 April 2018,[14]
14,"""Dance Monkey""",Tones and I,3.239,10 May 2019,[15]
15,"""Closer""",The Chainsmokers and Halsey,3.216,29 July 2016,[16]
16,"""Say You Won't Let Go""",James Arthur,3.213,9 September 2016,[17]
17,"""Rockstar""",Post Malone and 21 Savage,3.151,15 September 2017,[18]
18,"""Something Just Like This""",The Chainsmokers and Coldplay,3.095,22 February 2017,[19]
19,"""Riptide""",Vance Joy,3.04,21 May 2013,[20]
20,"""Watermelon Sugar""",Harry Styles,2.979,13 December 2019,[21]
21,"""Take Me to Church""",Hozier,2.975,13 September 2013,[22]
22,"""Señorita""",Shawn Mendes and Camila Cabello,2.972,21 June 2019,[23]
23,"""Another Love""",Tom Odell,2.963,15 October 2012,[24]
24,"""I Wanna Be Yours""",Arctic Monkeys,2.948,9 September 2013,[25]
25,"""Yellow""",Coldplay,2.941,26 June 2000,[26]
26,"""Counting Stars""",OneRepublic,2.902,14 June 2013,[27]
27,"""The Night We Met""",Lord Huron,2.895,7 April 2015,[28]
28,"""Don't Start Now""",Dua Lipa,2.893,31 October 2019,[29]
29,"""Photograph""",Ed Sheeran,2.873,11 May 2015,[30]
30,"""Lucid Dreams""",Juice Wrld,2.849,4 May 2018,[31]
31,"""Cruel Summer""",Taylor Swift,2.837,23 August 2019,[32]
32,"""Can't Hold Us""",Macklemore & Ryan Lewis with Ray Dalton,2.82,16 August 2011,[33]
33,"""Goosebumps""",Travis Scott and Kendrick Lamar,2.791,13 December 2016,[34]
34,"""Circles""",Post Malone,2.783,30 August 2019,[35]
35,"""Bohemian Rhapsody""",Queen,2.752,31 October 1975,[36]
36,"""God's Plan""",Drake,2.744,19 January 2018,[37]
37,"""Thinking Out Loud""",Ed Sheeran,2.732,14 August 2014,[38]
38,"""Die for You""",The Weeknd,2.73,25 November 2016,[39]
39,"""Love Yourself""",Justin Bieber,2.729,27 December 2015,[40]
40,"""Shallow""",Lady Gaga and Bradley Cooper,2.723,27 September 2018,[41]
41,"""Bad Guy""",Billie Eilish,2.703,29 March 2019,[42]
42,"""All of Me""",John Legend,2.686,12 August 2013,[43]
43,"""Viva La Vida""",Coldplay,2.68,25 May 2008,[44]
44,"""Just the Way You Are""",Bruno Mars,2.679,20 July 2010,[45]
45,"""Thunder""",Imagine Dragons,2.677,27 April 2017,[46]
46,"""Wake Me Up""",Avicii,2.671,17 June 2013,[47]
47,"""Demons""",Imagine Dragons,2.635,28 January 2013,[48]
48,"""The Hills""",The Weeknd,2.617,27 May 2015,[49]
49,"""Stressed Out""",Twenty One Pilots,2.605,28 April 2015,[50]
50,"""Locked out of Heaven""",Bruno Mars,2.593,1 October 2012,[51]
51,"""When I Was Your Man""",Bruno Mars,2.59,15 January 2013,[52]
52,"""Humble""",Kendrick Lamar,2.586,30 March 2017,[53]
53,"""That's What I Like""",Bruno Mars,2.585,30 January 2017,[54]
54,"""Without Me""",Eminem,2.582,14 May 2002,[55]
55,"""Every Breath You Take""",The Police,2.572,20 May 1983,[56]
56,"""Mr. Brightside""",The Killers,2.57,29 September 2003,[57]
57,"""No Role Modelz""",J. Cole,2.547,9 December 2014,[58]
58,"""Do I Wanna Know?""",Arctic Monkeys,2.53,19 June 2013,[59]
59,"""Lose Yourself""",Eminem,2.517,28 October 2002,[60]
60,"""Let Her Go""",Passenger,2.512,24 July 2012,[61]
61,"""In The End""",Linkin Park,2.507,9 October 2001,[62]
62,"""7 Rings""",Ariana Grande,2.503,18 January 2019,[63]
63,"""Flowers""",Miley Cyrus,2.493,13 January 2023,[64]
64,"""Unforgettable""",French Montana and Swae Lee,2.461,7 April 2017,[65]
65,"""Drivers License""",Olivia Rodrigo,2.457,8 January 2021,[66]
66,"""Let Me Love You""",DJ Snake and Justin Bieber,2.455,5 August 2016,[67]
67,"""Treat You Better""",Shawn Mendes,2.455,3 June 2016,[68]
68,"""Kill Bill""",SZA,2.443,9 December 2022,[69]
69,"""One Kiss""",Calvin Harris and Dua Lipa,2.421,6 April 2018,[70]
70,"""Good 4 U""",Olivia Rodrigo,2.397,14 May 2021,[71]
71,"""Sorry""",Justin Bieber,2.391,22 October 2015,[72]
72,"""Happier""",Marshmello and Bastille,2.373,16 August 2018,[73]
73,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.368,20 April 2017,[74]
74,"""Sad!""",XXXTentacion,2.364,2 March 2018,[75]
75,"""Don't Stop Believin'""",Journey,2.361,19 October 1981,[76]
76,"""Smells Like Teen Spirit""",Nirvana,2.355,10 September 1991,[77]
77,"""Jocelyn Flores""",XXXTentacion,2.351,31 October 2017,[78]
78,"""Birds of a Feather""",Billie Eilish,2.35,17 May 2024,[79]
79,"""Sicko Mode""",Travis Scott and Drake,2.339,21 August 2018,[80]
80,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with Pnau,2.334,13 August 2021,[81]
81,"""Lean On""",Major Lazer with DJ Snake and M∅,2.321,2 March 2015,[82]
82,"""XO Tour Llif3""",Lil Uzi Vert,2.321,24 March 2017,[83]
83,"""Save Your Tears""",The Weeknd,2.312,20 March 2020,[84]
84,"""Wonderwall""",Oasis,2.299,30 October 1995,[85]
85,"""Seven""",Jung Kook and Latto,2.291,14 July 2023,[86]
86,"""Levitating""",Dua Lipa and DaBaby,2.29,1 October 2020,[87]
87,"""New Rules""",Dua Lipa,2.287,7 July 2017,[88]
88,"""See You Again""","Tyler, the Creator and Kali Uchis",2.286,21 July 2017,[89]
89,"""The Scientist""",Coldplay,2.284,26 May 2002,[90]
90,"""Don't Stop Me Now""",Queen,2.282,26 January 1979,[91]
91,"""Too Good At Goodbyes""",Sam Smith,2.28,8 September 2017,[92]
92,"""Iris""",Goo Goo Dolls,2.278,1 April 1998,[93]
93,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.277,10 November 2014,[94]
94,"""Take On Me""",A-ha,2.276,19 October 1984,[95]
95,"""Stay With Me""",Sam Smith,2.27,14 April 2014,[96]
96,"""Havana""",Camila Cabello and Young Thug,2.257,3 August 2017,[97]
97,"""Someone Like You""",Adele,2.254,24 January 2011,[98]
98,"""Die With A Smile""",Lady Gaga and Bruno Mars,2.242,16 August 2024,[99]
99,"""Memories""",Maroon 5,2.235,20 September 2019,[100]
100,"""All the Stars""",Kendrick Lamar and SZA,2.231,4 January 2018,[101]
